id,category,topic,title,question,answer,keywords,source,url
11,"Agriculture,Rural & Environment",FAPLLF,Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,What is Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen?,"“Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys.","Fish, Fishermen, Financial Assistance, Fisheries, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/fapllf
12,"Agriculture,Rural & Environment",FATPOMO2T5FFTTFC,Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe,What is Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe?,"“Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe” is a scheme by the Department of Fisheries, Government of Goa. This Scheme has been introduced to grant financial assistance in the form of a subsidy on the purchase of an outboard motor of 2HP to 5HP.","Fishermen, Fish, Financial Assistance, Subsidy, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/fatpomo2t5ffttfc
13,"Agriculture,Rural & Environment",FAPCNFCLT26FFIW,Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,What is Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa?,"The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.","Fishermen, Fish, Subsidy, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/fapcnfclt26ffiw
14,"Agriculture,Rural & Environment",FAPSNSRNA,Financial Assistance To Purchase Singel Net / Small Rampon Net & Its Accessories,What is Financial Assistance To Purchase Singel Net / Small Rampon Net & Its Accessories?,"The scheme “Financial Assistance To Purchase Singel Net / Small Rampon Net & Its Accessories” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, a 50% subsidy is provided to the fishermen of Goa for the purchase of Singel Net/ Small Rampon Net and its accessories.","Fishermen, Fish, Subsidy, Financial Assistance, Marine, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/fapsnsrna
15,"Agriculture,Rural & Environment",SIB,Supply of Insulated Boxes,What is Supply of Insulated Boxes?,"A subsidy to the extent of 75% of the cost for the purchase of an insulated box of at least 50 liters capacity. Only the fisherman engaged in selling and marketing fish, fishing at sea with a canoe, and fishing at sea with a mechanized fishing vessel with upto 6-cylinder engines are eligible.","Fishermen, Fish, Marketing, Financial Assistance, Subsidy, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/sib
16,"Agriculture,Rural & Environment",FAFVRDFPARFV,Financial Assistance to the Fish Vendors Registered with the Directorate of Fisheries to Purchase the Accessories Required for Fish Vending,What is Financial Assistance to the Fish Vendors Registered with the Directorate of Fisheries to Purchase the Accessories Required for Fish Vending?,"Under this scheme, Financial Assistance is provided to the fish vendors for the purchase of Crates, Weighing Balance, Insulated Box, Gloves, Stools, Platforms to keep Fish/ Shed/ Umbrella, Choppers, and Other Equipment, so that the fish can reach the people in hygienic conditions.","Fish, Vendor, Business, Financial Assistance, Subsidy, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/fafvrdfparfv
17,"Agriculture,Rural & Environment",FAPSNA,Financial Assistance for Purchase of Stake Net and its Accessories,What is Financial Assistance for Purchase of Stake Net and its Accessories?,"“Financial Assistance for Purchase of Stake Net and its Accessories” is a scheme by the Dept. of Fisheries, Govt. of Goa. Under this scheme, financial assistance is provided in the form of a subsidy on the purchase of stake nets and accessories for the fishermen.","Fishermen, Fish, Subsidy, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/fapsna
18,"Agriculture,Rural & Environment",SPWFRPSMB-FAASCDMF,Subsidy for the Purchase of Wooden/Fiber Reinforced Plastic/Steel Mechanised Boats,What is Subsidy for the Purchase of Wooden/Fiber Reinforced Plastic/Steel Mechanised Boats?,"The scheme ""Subsidy for the Purchase of Wooden/Fiber Reinforced Plastic/Steel Mechanised Boats"" is introduced by the Government of Puducherry with the objective of increasing marine fish production by extending subsidies for the procurement of wooden/fiber-reinforced plastic/steel mechanized boats.","Boat, Subsidy, Fisherman, Fisheries, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/spwfrpsmb-faascdmf
19,"Agriculture,Rural & Environment",GSPV,Grant of Subsidy for Procurement of Vehicle,What is Grant of Subsidy for Procurement of Vehicle?,"""Grant of Subsidy for Procurement of Vehicle"" aims to facilitate the quick transportation of fish catches from landing centers to marketing places, thereby preventing/minimizing spoilage of fish. It provides a 50% subsidy for the procurement of specified vehicles.","Subsidy, Procurement, Vehicle, Fisheries, Fisherman, Financial Asisstance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/gspv
20,"Banking,Financial Services and Insurance",MMKUY,Mukhya mantri Krishak Udyami Yojana,What is Mukhya mantri Krishak Udyami Yojana?,The objective of this scheme is to provide financial assistance to the sons and daughters of farmers to establish their businesses. the government of Madhya Pradesh provided loans to the bank for all citizens of the state.,"Farming, Farmer, Financial, Loan, Bank, Banking,Financial Services and Insurance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/mkuy
21,"Agriculture,Rural & Environment",PHMS,Post Harvest Marketing Scheme,What is Post Harvest Marketing Scheme?,"The “Post Harvest Marketing Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya for the creation of post harvest marketing infrastructure.","Post Harvest, Marketing, Infrastructure, Farmer, SHG Farmers, Co-Operative Societies, FIG, FPO, Horticulture, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/phms
22,"Agriculture,Rural & Environment",ASCFISCMPA,Assistance to Scheduled Caste Farmers for Installation of Submersible / Centrifugal Motor Pumpsets With Accessories,What is Assistance to Scheduled Caste Farmers for Installation of Submersible / Centrifugal Motor Pumpsets With Accessories?,"Through this scheme, the farmers from the Scheduled Caste Category are provided with a grant of 90% subsidy towards the installation of suitable Submersible / Centrifugal motor pump sets with accessories, subject to a maximum of ₹60,000/‐ per tubewell per individual.","Motor, Pump, Subsidy, Farmer, Agriculture, Scheduled Caste, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ascfiscmpa
23,"Agriculture,Rural & Environment",ARSLS,Agriculture Research Stations and Laboratories Scheme,What is Agriculture Research Stations and Laboratories Scheme?,The objective of the scheme is to conduct adaptive research trials on different crops in the Research Farms and in Farmers' Field for adaptability and use of bio pesticides/bio agents.,"Agriculture, Research Station, Laboratory, Farmer, Bio Pesticide, Bio Agent, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/arsls
24,"Agriculture,Rural & Environment",MHH,Maintenance of Horti Hubs,What is Maintenance of Horti Hubs?,"The objective of the scheme is to procure good quality disease-free and commercially accepted varieties of the identified flowers and multiply and, to serve as a demonstration cum training ground for those who are interested in Floriculture and who intend to make this as their means of livelihood.","Farmer, Agriculture, Floriculture, Flower, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/mhh
25,"Agriculture,Rural & Environment",OMS,Organic Manure Scheme,What is Organic Manure Scheme?,The objective of the scheme is to provide hands on training at the village level on production of organic compost inputs such as compost for plant health management for sustainable agriculture.,"Organic Manure, Farmer, Agriculture, Training, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/oms
26,"Agriculture,Rural & Environment",SAMS,Supply of Agriculture Machineries Scheme,What is Supply of Agriculture Machineries Scheme?,"The objective of the scheme is to distribute and sale of agricultural machinery such as Power Tillers, etc. to farmers at subsidized rates.","Farmer, Agriculture Machineries, Subsidy, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/sams
27,"Agriculture,Rural & Environment",KY,Krishi Yantra,What is Krishi Yantra?,"In the Krishi Yantra scheme, the farmer purchases farming-related equipment from an authorized dealer, then the state government gives a subsidy to the farmers.","Farming, Farmer, Equipment, Development, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ky
28,"Agriculture,Rural & Environment",WIT,Walk In Tunnel,What is Walk In Tunnel?,"Under the Walk-In Tunnel, the Rajasthan government provides the benefit of a subsidy to the farmers with affordable and efficient structures that offer protection from adverse weather conditions, pests, and diseases.","Walk In Tunnel, Crops, Agriculture, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/wit
29,"Agriculture,Rural & Environment",ABN,Anti Bird Net,What is Anti Bird Net?,"Under the Anti Bird Net Birds will never leave your garden if they are used to pecking on certain trees and plants, but if you install anti-bird nets at the appropriate places, you can prevent them from coming again to peck your plants.","Farmer, Anti Bird Net, Farming, Agriculture, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/abn
30,"Agriculture,Rural & Environment",APDCCSIFDS(GC),Assistance for Power Driven Chaff Cutter Scheme under Integrated Fodder Development Scheme (General Category),What is Assistance for Power Driven Chaff Cutter Scheme under Integrated Fodder Development Scheme (General Category)?,"The scheme provides financial assistance to dairy farmers belonging to General Caste category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green & dry fodder which is economically important for their profitable dairy farming.","Chaff Cutter, Animal Husbandry, Dairy Farmer, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/apdccsifdsgc
31,"Agriculture,Rural & Environment",CSSSSCSP(SCC),Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SC Category) ,What is Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SC Category)?,"The scheme “Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SCSP)” is implemented by the Directorate of Animal Husbandry, Government of Gujarat. Under this scheme, the financial assistance is given to Scheduled Caste beneficiaries for construction of Cattle Shed for 2 animals.","Cattle Shed, Subsidy, Scheduled Caste, Animal Husbandry, Farmer, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/csssscspscc
32,"Agriculture,Rural & Environment",BEDS,Buffalo Entrepreneurship Development Scheme,What is Buffalo Entrepreneurship Development Scheme?,"The ""Buffalo Entrepreneurship Development Scheme"" aims to enhance livestock productivity, especially among marginalized farmers in Odisha. This scheme seeks to address protein deficiency, boost nutritional status, & promote livelihood through dairy farming.","Farmers, Milk Production, Subsidy, Opportunity, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/beds
33,"Agriculture,Rural & Environment",AAPD,Agricultural Activities for Persons with Disabilities,What is Agricultural Activities for Persons with Disabilities?,"This scheme provides loans up to ₹10,00,000/- to the persons with disabilities for agricultural production, irrigation, horticulture, sericulture, the purchase of agricultural machinery and equipment for agricultural services, and the marketing of agricultural products etc.","Agricultural Activities, PwD, Loan, Disabled Person, Agriculture,Rural & Environment, Business & Entrepreneurship",State,https://www.myscheme.gov.in/schemes/aapd
34,"Agriculture,Rural & Environment",NTKJKY,Niji Talabon Ka Jirnoddhar Ki Yojana,What is Niji Talabon Ka Jirnoddhar Ki Yojana?,"The government of Bihar launched the ""Niji Talabon Ka Jirnoddhar Ki Yojana"" scheme aims to enhance the water holding capacity of private ponds to boost fish productivity & production as well as provide benefits to private fish farmers through the expansion/renovation of their ponds.","Fish Farmer, Productivity, Pond, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ntkjky
35,"Agriculture,Rural & Environment",DOCSOS,Distribution of Certified Seeds-Oil Seeds,What is Distribution of Certified Seeds-Oil Seeds?,"The ""Distribution of Certified Seeds-Oil Seeds"" scheme offers subsidies to farmers for purchasing certified oil seeds, helping them improve their crop yield and quality.","Agriculture, Farmer, Seed Distribution, Oil Seeds, Subsidy, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/docsos
36,"Agriculture,Rural & Environment",DOR,Distribution of Rhizobium,What is Distribution of Rhizobium?,"The “Distribution of Rhizobium” scheme offers a subsidy on the cost of Rhizobium, to farmers raising seed farms with Pulses crops in Tamil Nadu.","Agriculture, Farmer, Rhizobium, Subsidy, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/dor
37,"Agriculture,Rural & Environment",AHTN,Animal Husbandry,What is Animal Husbandry?,"This scheme provides subsidies on the distribution of sheep units, milch animals, and calves, as well as health coverage and artificial insemination for the animals. It is targeted at Tribal communities to improve their livelihood through animal husbandry.","Tribal Welfare, Animal Husbandry, Animals Health Cover, Artificial Insemination, Distribution Of Sheep Units, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ahtn
38,"Agriculture,Rural & Environment",OBDOPMTIG,Organizing Block Demonstration on Polythene Mulch Technology in Groundnut,What is Organizing Block Demonstration on Polythene Mulch Technology in Groundnut?,The scheme provides financial assistance to farmers for adopting polythene mulch technology in groundnut cultivation to improve productivity.,"Agriculture, Farmer, Block Demonstration, Polythene Mulch Technology, Groundnut, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/obdopmtig
39,"Agriculture,Rural & Environment",POCS,Production Of Certified Seeds,What is Production Of Certified Seeds?,"The ""Production of Certified Seeds"" scheme, offers a subsidy to farmers for producing certified seeds of Pulses.","Agriculture, Farmer, Certified Seeds, Production Of Seeds, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/pocs
40,Skills & Employment,ASPIE,Afforestation Schemes Providing Incentives And Employment To Tribals In Forest,What is Afforestation Schemes Providing Incentives And Employment To Tribals In Forest?,"This scheme offers grants to unemployed tribals for afforestation work, providing them with incentives and employment opportunities in forest operations.","Tribal Welfare, Afforestation, Incentives, Employment, Skills & Employment, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/aspie
41,"Agriculture,Rural & Environment",KIAY,Krishi Input Anudan Yojana,What is Krishi Input Anudan Yojana?,The scheme aims to provide agricultural input subsidies in affected areas due to the rise in water levels of rivers like Ganga and Kosi and flood-related crop damage from heavy rainfall.,"Agriculture, Subsidy, Crops Damage, Financial Assistance, Crop Insurance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/kiay
42,Housing & Shelter,V-VHCS,Ved-Vyas Housing Construction Scheme,What is Ved-Vyas Housing Construction Scheme?,"The ""Ved Vyas Housing Construction Scheme"" provides financial assistance to active and traditional fish farmers in Simdega district for building houses. The scheme prioritizes individuals particularly those living in kutcha or thatched houses.","Housing, Fish Farmer, Disabled, BPL, Housing & Shelter, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/v-vhcs
43,"Agriculture,Rural & Environment",MBYDFVY,Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana,What is Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana?,"The scheme aims to expand dragon fruit cultivation in 21 districts of the state, providing financial assistance to ryot farmers for establishing and maintaining dragon fruit plantations.","Agriculture, Subsidy, Plant Supply, Financial Assistance, Dragon Fruit Development, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/mbydfvy
44,"Agriculture,Rural & Environment",MVYB,Makhana Vikas Yojana,What is Makhana Vikas Yojana?,The scheme aims to boost Makhana cultivation by providing training to farmers and financial support for traditional equipment.,"Agriculture, Subsidy, Seed Supply, Financial Assistance, Makhana Development, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/mvyb
45,"Agriculture,Rural & Environment",GTIAR,Gausevak Training (Initial and Refresher),What is Gausevak Training (Initial and Refresher)?,"The scheme ""Gausevak Training (Initial and Refresher)"" aims to empower educated unemployed rural youth with self-employment opportunities and the skills to provide primary veterinary services in remote rural areas. A 100% stipend of ₹6,000 for initial training and ₹500 for refresher training.","Educated, Unemployed, Youth, Training, Agriculture,Rural & Environment, Skills & Employment",State,https://www.myscheme.gov.in/schemes/gtiar
46,"Agriculture,Rural & Environment",TWS,Tap Water Scheme (Nal Jal Yojana),What is Tap Water Scheme (Nal Jal Yojana)?,"""Tap Water Scheme"" (नल जल योजना) by the Panchayat and Rural Development Department, Government of Madhya Pradesh aims to provide clean water in Gram Panchayat areas in an accessible manner. The application has to be made to the concerned Gram Panchayat.","Water, Agriculture, Panchayat, Development, Rural, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/tws
47,"Agriculture,Rural & Environment",KPYG,Kisan Parivahan Yojana,What is Kisan Parivahan Yojana?,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing medium-sized goods vehicles to facilitate the transportation of agricultural produce.","Agriculture, Farmer, Heavy Farm Equipment, Goods Vehicles, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/kpyg
48,"Agriculture,Rural & Environment",BVBY,Bhavantar Bharpai Yojana,What is Bhavantar Bharpai Yojana?,"The scheme is implemented by the Department of Horticulture, Government of Haryana, aims to protect horticultural farmers from market price fluctuations and compensate them if they receive low prices for their produce in the market.","Horticulture, Farmer, Agriculture, Vegetable Grower, Fruits, Vegetables, Incentive, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/bvby
49,"Agriculture,Rural & Environment",SPFASAE,Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment,What is Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment?,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations.","Agriculture, Farmer, Sanedo Equipment, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/spfasae
50,"Agriculture,Rural & Environment",SAPSF,Scheme for Assistance on Purchase of Smartphone by the Farmers,What is Scheme for Assistance on Purchase of Smartphone by the Farmers?,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to farmers for purchasing smartphones, enabling them to access agricultural technology, weather updates, pest control techniques, and government assistance.","Agriculture, Farmer, Smartphone, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/sapsf
51,"Agriculture,Rural & Environment",EOTMAF,Establishment of 1 to 20 Milch Animal Farm,What is Establishment of 1 to 20 Milch Animal Farm?,"The ""Establishment of 1 to 20 Milch Animal Farm"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, provides financial assistance in the form of an interest subsidy to livestock farmers to take up animal husbandry as a sustainable business.","Animal Husbandry, Rural Employment, Animal Farm, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/eotmaf
52,"Agriculture,Rural & Environment",DVRSF,Diesel VAT Relief Scheme for Fishermen,What is Diesel VAT Relief Scheme for Fishermen?,"The ""Diesel VAT Relief Scheme for Fishermen"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial assistance by subsidizing the VAT levied on high-speed diesel used in fishing boats.","Agriculture, Fishing Activities, Fishermen, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/dvrsf
53,"Agriculture,Rural & Environment",ICS,Intensive Castration Scheme,What is Intensive Castration Scheme?,"The ""Intensive Castration Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to control the stray animal population by castrating male calves and helps in reducing accidents caused by stray male animals in rural and urban areas.","Animal Husbandry, Cow, Low Genetic Animal, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ics
54,Transport & Infrastructure,SPEBJ,Subsidy to Purchase E-Bike for Journalists,What is Subsidy to Purchase E-Bike for Journalists?,"The scheme aims to provide financial assistance to journalists in Goa for purchasing e-bikes at a subsidised rate. The benefits include making it more convenient for journalists to gather and disseminate news, with the intended beneficiaries being eligible Goa-based journalists.","Subsidy, Transport, Journalist, Environment, Pollution, Road, Transport & Infrastructure, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/spebj
55,"Agriculture,Rural & Environment",SFUGP,Scheme for Upgradation of Gaushala/ Panjrapole,What is Scheme for Upgradation of Gaushala/ Panjrapole?,"The ""Scheme for Upgradation of Gaushala/ Panjrapole""  aims to promote indigenous cow breeds and make cow rearing economically viable.","Agriculture, Animal Husbandry, Cattle Development, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/sfugp
56,"Agriculture,Rural & Environment",ACFAPSC,Assistance of Concentrate Feed After Parturition (Scheduled Caste Category),What is Assistance of Concentrate Feed After Parturition (Scheduled Caste Category)?,"The scheme ""Assistance of Concentrate Feed After Parturition (Scheduled Caste Category)"" provides 150 kg of BIS Type II concentrate feed to Scheduled Caste Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.","Animal Husbandry, Cattle Development, Milk Production, Concentrate Feeds, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/acfapsc
57,"Agriculture,Rural & Environment",ACFPAGC,Assistance of Concentrate Feed for Pregnant Animals (General Category),What is Assistance of Concentrate Feed for Pregnant Animals (General Category)?,"This scheme provides free BIS type II concentrate feed to pregnant cattle owned by General Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.","Animal Husbandry, Pregnant Cattle, Milk Production, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/acfpagc
58,"Agriculture,Rural & Environment",FFPPC,PMMSY: Fish Feed Plants of Production Capacity of at least 100 Ton/Day - Haryana,What is PMMSY: Fish Feed Plants of Production Capacity of at least 100 Ton/Day - Haryana?,"This scheme provides capital subsidy for setting up fish feed plants with a minimum production capacity of 100 tons per day, under the Pradhan Mantri Matsya Sampada Yojana (PMMSY) to general , schedule caste and women beneficiaries .","Fish, Affordable Feed, Capital Subsidy, FFPO, Agriculture,Rural & Environment, Business & Entrepreneurship, Social welfare & Empowerment",State,https://www.myscheme.gov.in/schemes/sffppc
59,"Agriculture,Rural & Environment",ENFFHR,PMMSY: Establishment of New Freshwater Fin Fish Hatcheries-Haryana,What is PMMSY: Establishment of New Freshwater Fin Fish Hatcheries-Haryana?,"The scheme aims to support the establishment of new freshwater finfish hatcheries. Through this scheme, financial assistance in the form of subsidies is provided to beneficiaries for setting up these hatcheries.","Financial Assistance, Subsidy, Setting Up, Hatcheries, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/enffhr
60,"Agriculture,Rural & Environment",LFVCS,PMMSY: Live Fish Vending Centres Scheme - Haryana,What is PMMSY: Live Fish Vending Centres Scheme - Haryana?,The scheme aims to support fishers by providing financial assistance for live fish vending centers. A subsidy per unit is provided under PMMSY.,"Financial Assistance, Fish Farmer, Transportation, Subsidy, Marketing, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/lfvcs
